iau,filename,type,redshift
2018muz,2018muz_91671.ascii,SN Ia,0.08
2020akf,2020akf_91837.ascii,SN Ia-91T-like,0.012454
2020akf,2020akf_91838.ascii,SN Ia-91T-like,0.012454
2020akf,2020akf_91839.ascii,SN Ia-91T-like,0.012454
2020akf,2020akf_91840.ascii,SN Ia-91T-like,0.012454
2020akf,2020akf_91842.ascii,SN Ia-91T-like,0.012454
2020akf,2020akf_91843.ascii,SN Ia-91T-like,0.012454
2020akf,2020akf_91844.ascii,SN Ia-91T-like,0.012454
2020akf,2020akf_91889.ascii,SN Ia-91T-like,0.012454
2021mxx,2021mxx_91845.ascii,SN Ia,0.00965
2021mxx,2021mxx_91846.ascii,SN Ia,0.00965
2021mxx,2021mxx_91847.ascii,SN Ia,0.00965
2021mxx,2021mxx_91848.ascii,SN Ia,0.00965
2021mxx,2021mxx_91849.ascii,SN Ia,0.00965
2021mxx,2021mxx_91850.ascii,SN Ia,0.00965
2021mxx,2021mxx_91851.ascii,SN Ia,0.00965
2021mxx,2021mxx_91852.ascii,SN Ia,0.00965
2021mxx,2021mxx_91853.ascii,SN Ia,0.00965
2021mxx,2021mxx_91854.ascii,SN Ia,0.00965
2021mxx,2021mxx_91855.ascii,SN Ia,0.00965
2021mxx,2021mxx_91856.ascii,SN Ia,0.00965
2024dy,2024dy_91722.txt,SN IIn,0.0214
2024dy,2024dy_91723.txt,SN IIn,0.0214
2024dy,2024dy_91724.txt,SN IIn,0.0214
2024dy,2024dy_91725.txt,SN IIn,0.0214
2024dy,2024dy_91726.txt,SN IIn,0.0214
2024dy,2024dy_91727.txt,SN IIn,0.0214
2024dy,2024dy_91728.txt,SN IIn,0.0214
2024dy,2024dy_91729.txt,SN IIn,0.0214
2024dy,2024dy_91730.txt,SN IIn,0.0214
2024dy,2024dy_91731.txt,SN IIn,0.0214
2024dy,2024dy_91732.txt,SN IIn,0.0214
2024dy,2024dy_91733.txt,SN IIn,0.0214
2024gy,2024gy_91477.csv,SN Ia,0.001183
2024gy,2024gy_91478.csv,SN Ia,0.001183
2024gy,2024gy_91479.csv,SN Ia,0.001183
2024gy,2024gy_91480.csv,SN Ia,0.001183
2024gy,2024gy_91481.csv,SN Ia,0.001183
2024gy,2024gy_91482.csv,SN Ia,0.001183
2024gy,2024gy_91483.csv,SN Ia,0.001183
2024gy,2024gy_91484.csv,SN Ia,0.001183
2024gy,2024gy_91485.csv,SN Ia,0.001183
2024gy,2024gy_91486.csv,SN Ia,0.001183
2024gy,2024gy_91487.csv,SN Ia,0.001183
2024gy,2024gy_91488.csv,SN Ia,0.001183
2024gy,2024gy_91489.csv,SN Ia,0.001183
2024igg,2024igg_91496.dat,SN II,0.01
2024igg,2024igg_91497.dat,SN II,0.01
2024igg,2024igg_91498.txt,SN II,0.01
2024igg,2024igg_91499.txt,SN II,0.01
2024igg,2024igg_91500.dat,SN II,0.01
2024igg,2024igg_91501.dat,SN II,0.01
2024igg,2024igg_91502.dat,SN II,0.01
2024igg,2024igg_91503.dat,SN II,0.01
2024igg,2024igg_91504.txt,SN II,0.01
2024igg,2024igg_91505.dat,SN II,0.01
2024igg,2024igg_91506.txt,SN II,0.01
2024igg,2024igg_91507.flm,SN II,0.01
2024igg,2024igg_91508.dat,SN II,0.01
2024igg,2024igg_91509.dat,SN II,0.01
2024igg,2024igg_91510.dat,SN II,0.01
2024igg,2024igg_91511.dat,SN II,0.01
2024igg,2024igg_91512.dat,SN II,0.01
2024igg,2024igg_91513.dat,SN II,0.01
2024igg,2024igg_91514.dat,SN II,0.01
2024igg,2024igg_91515.dat,SN II,0.01
2024igg,2024igg_91516.dat,SN II,0.01
2024igg,2024igg_91517.dat,SN II,0.01
2024igg,2024igg_91518.dat,SN II,0.01
2024igg,2024igg_91519.dat,SN II,0.01
2024igg,2024igg_91520.dat,SN II,0.01
2024igg,2024igg_91521.dat,SN II,0.01
2024igg,2024igg_91522.dat,SN II,0.01
2024igg,2024igg_91523.dat,SN II,0.01
2024igg,2024igg_91524.dat,SN II,0.01
2024igg,2024igg_91525.dat,SN II,0.01
2024igg,2024igg_91526.dat,SN II,0.01
2024uwc,2024uwc_91781.ascii,SN Ia,0.039268795
2025abyc,2025abyc_91630.dat,SN II,0.02
2025abyc,2025abyc_91631.dat,SN II,0.02
2025abyc,2025abyc_91632.dat,SN II,0.02
2025abyc,2025abyc_91633.dat,SN II,0.02
2025abyc,2025abyc_91634.dat,SN II,0.02
2025abyc,2025abyc_91635.dat,SN II,0.02
2025abyc,2025abyc_91636.dat,SN II,0.02
2025abyc,2025abyc_91637.dat,SN II,0.02
2025abyc,2025abyc_91638.dat,SN II,0.02
2025abyc,2025abyc_91639.dat,SN II,0.02
2025abyc,2025abyc_91640.dat,SN II,0.02
2025aico,2025aico_91813.dat,SN II,0.00478
2025amdo,2025amdo_91798.ascii,SN I,0.08
2026ayt,2026ayt_91834.ascii,SN II,0.0036
2026ayt,2026ayt_91900.txt,SN II,0.0036
2026ckf,2026ckf_91896.ascii,SN IIn,0.1365
2026cnu,2026cnu_91697.ascii,SN II,0.05
2026fil,2026fil_91561.ascii,SN II,0.023
2026gtz,2026gtz_91547.ascii,SN II,0.070161
2026gyy,2026gyy_91560.ascii,SN II,0.0544
2026gzf,2026gzf_91647.ascii,SN Ic-BL,0.0344
2026gzf,2026gzf_91648.ascii,SN Ic-BL,0.0344
2026gzf,2026gzf_91649.ascii,SN Ic-BL,0.0344
2026hek,2026hek_91580.ascii,SN II,0.029
2026hjl,2026hjl_91663.ascii,SN Ia,0.1005
