iau,filename,type,redshift
2020ywx,2020ywx_92639.txt,SN IIn,0.0217
2020ywx,2020ywx_92640.txt,SN IIn,0.0217
2020ywx,2020ywx_92641.txt,SN IIn,0.0217
2020ywx,2020ywx_92642.txt,SN IIn,0.0217
2020ywx,2020ywx_92643.txt,SN IIn,0.0217
2020ywx,2020ywx_92644.txt,SN IIn,0.0217
2020ywx,2020ywx_92645.txt,SN IIn,0.0217
2020ywx,2020ywx_92646.dat,SN IIn,0.0217
2022csn,2022csn_92388.ascii,SLSN-I,0.15
2022csn,2022csn_92389.ascii,SLSN-I,0.15
2022csn,2022csn_92390.ascii,SLSN-I,0.15
2022csn,2022csn_92391.ascii,SLSN-I,0.15
2022csn,2022csn_92392.ascii,SLSN-I,0.15
2022csn,2022csn_92393.ascii,SLSN-I,0.15
2022csn,2022csn_92394.ascii,SLSN-I,0.15
2022csn,2022csn_92395.ascii,SLSN-I,0.15
2022csn,2022csn_92396.ascii,SLSN-I,0.15
2022csn,2022csn_92407.ascii,SLSN-I,0.15
2022csn,2022csn_92408.ascii,SLSN-I,0.15
2022csn,2022csn_92409.ascii,SLSN-I,0.15
2022csn,2022csn_92435.ascii,SLSN-I,0.15
2022erq,2022erq_92575.dat,SN Ia-CSM,0.066
2022erq,2022erq_92576.dat,SN Ia-CSM,0.066
2022erq,2022erq_92577.dat,SN Ia-CSM,0.066
2022erq,2022erq_92578.dat,SN Ia-CSM,0.066
2022erq,2022erq_92579.dat,SN Ia-CSM,0.066
2022erq,2022erq_92580.dat,SN Ia-CSM,0.066
2022erq,2022erq_92581.dat,SN Ia-CSM,0.066
2022erq,2022erq_92582.dat,SN Ia-CSM,0.066
2022erq,2022erq_92583.dat,SN Ia-CSM,0.066
2022erq,2022erq_92584.dat,SN Ia-CSM,0.066
2022erq,2022erq_92585.dat,SN Ia-CSM,0.066
2022erq,2022erq_92586.dat,SN Ia-CSM,0.066
2022erq,2022erq_92588.dat,SN Ia-CSM,0.066
2022erq,2022erq_92589.dat,SN Ia-CSM,0.066
2022erq,2022erq_92590.dat,SN Ia-CSM,0.066
