iau,filename,type,redshift
2018erx,2018erx_91372.ascii,SN Icn,0.0294
2021aaev,2021aaev_91183.txt,SN II,0.155
2021aaev,2021aaev_91184.txt,SN II,0.155
2021aaev,2021aaev_91185.txt,SN II,0.155
2021aaev,2021aaev_91186.txt,SN II,0.155
2021aaev,2021aaev_91187.txt,SN II,0.155
2021aaev,2021aaev_91188.ascii,SN II,0.155
2021aaev,2021aaev_91189.txt,SN II,0.155
2021aaev,2021aaev_91190.txt,SN II,0.155
2021aaev,2021aaev_91191.txt,SN II,0.155
2021aaev,2021aaev_91193.txt,SN II,0.155
2021aaev,2021aaev_91194.ascii,SN II,0.155
2021aaev,2021aaev_91195.ascii,SN II,0.155
2021aaev,2021aaev_91196.txt,SN II,0.155
2024afyu,2024afyu_91166.ascii,SN II,0.012
2024gy,2024gy_91423.csv,SN Ia,0.001183
2024gy,2024gy_91424.csv,SN Ia,0.001183
2024gy,2024gy_91425.csv,SN Ia,0.001183
2024gy,2024gy_91426.csv,SN Ia,0.001183
2024gy,2024gy_91427.csv,SN Ia,0.001183
2024gy,2024gy_91428.csv,SN Ia,0.001183
2024gy,2024gy_91429.csv,SN Ia,0.001183
2024gy,2024gy_91430.csv,SN Ia,0.001183
2024gy,2024gy_91431.csv,SN Ia,0.001183
2024gy,2024gy_91432.csv,SN Ia,0.001183
2025adjf,2025adjf_91433.flm,SN Ia,0.123
2025afcr,2025afcr_91167.ascii,SLSN-I,0.1335
2025ammz,2025ammz_91403.ascii,SN IIn,0.027639
2026akp,2026akp_91176.ascii,SN II,0.0214
2026cff,2026cff_91168.ascii,SN II,0.0122
2026ehc,2026ehc_91396.ascii,SN II,0.022
2026enm,2026enm_91153.ascii,SN II,0.029135754
2026eyc,2026eyc_91376.spec,SN II,0.030097
2026fhi,2026fhi_91288.ascii,SN II,0.0241
2026fxs,2026fxs_91224.spec,SN Ib-pec,0.0535
2026gvn,2026gvn_91395.ascii,SN Ia,0.094
2026gwc,2026gwc_91063.ascii,SN IIP,0.02295
2026gyx,2026gyx_91287.ascii,SN Ia,0.07
