iau,filename,type,redshift
2001kk,2001kk_91022.ascii,SN Ia,0.086392
2019idb,2019idb_91020.ascii,SN Ia,0.033876
2021bnw,2021bnw_90965.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90966.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90967.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90968.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90969.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90970.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90971.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90972.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90973.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90974.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90975.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90976.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90977.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90978.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90979.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90980.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90981.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90982.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90983.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90984.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90985.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90986.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90987.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90988.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90989.ascii,SLSN-I,0.0861
2021bnw,2021bnw_90990.ascii,SLSN-I,0.0861
2023adta,2023adta_90997.flm,SN Ic-BL,2.83
2023aefw,2023aefw_90878.ascii,SN Ia,0.058
2024aedt,2024aedt_90847.dat,SN Ia,0.018413
2024aedt,2024aedt_90848.dat,SN Ia,0.018413
2024aedt,2024aedt_90849.dat,SN Ia,0.018413
2024aedt,2024aedt_90850.dat,SN Ia,0.018413
2024aijd,2024aijd_90903.txt,SN II,5.133
2025ogs,2025ogs_90998.flm,SN Ia,2.05
2025xtq,2025xtq_90857.txt,SN Ia-CSM,0.054
2025xtq,2025xtq_90869.ascii,SN Ia-CSM,0.054
2026acd,2026acd_91000.ascii,SN Ia,0.00758
2026any,2026any_90885.ascii,SLSN-II,0.125
2026atw,2026atw_91002.ascii,SN IIP,0.027
2026bhb,2026bhb_90859.dat,SN Ia,0.083
2026bti,2026bti_90888.ascii,SN IIn,0.064
2026cjx,2026cjx_90928.ascii,SN Ia-CSM,0.1125
